State,Year,revratio_all,revratio_lo,revratio_st,revratio_fe,revratio_stlo,revratio_stfe,revratio_lofe,adjrevratio_all,adjrevratio_lo,adjrevratio_st,adjrevratio_fe,adjrevratio_stlo,adjrevratio_stfe,adjrevratio_lofe,revpp_all_2015dol,revpp_lo_2015dol,revpp_st_2015dol,revpp_fe_2015dol,revpp_stlo_2015dol,revpp_stfe_2015dol,revpp_lofe_2015dol,adj_revpp_all_2015dol,adj_revpp_lo_2015dol,adj_revpp_st_2015dol,adj_revpp_fe_2015dol,adj_revpp_stlo_2015dol,adj_revpp_stfe_2015dol,adj_revpp_lofe_2015dol
"USA",1995,.9826278,.8171079,1.09965,1.461608,.9533796,1.140326,.8851078,.9879407,.8236114,1.099271,1.452495,.9590393,1.138973,.89214,9652.668,4563.783,4483.63,605.2559,9047.412,5088.886,5169.039,10013.68,4648.52,4727.773,637.3876,9376.293,5365.161,5285.908
"USA",1996,.9856514,.8183641,1.103763,1.434296,.9586668,1.139795,.8835242,.9919751,.8266495,1.103906,1.426419,.9653776,1.139066,.8921184,9679.882,4498.979,4586.332,594.5706,9085.312,5180.902,5093.55,10038.56,4582.542,4830.601,625.4171,9413.143,5456.018,5207.959
"USA",1997,.9891543,.8223836,1.10738,1.416068,.9637901,1.140391,.8850077,.9964234,.8316672,1.108327,1.411369,.9712881,1.140803,.8948346,9882.175,4557.392,4727.614,597.1693,9285.006,5324.783,5154.561,10245.49,4642.105,4974.182,629.2073,9616.287,5603.39,5271.313
"USA",1998,.9902098,.8255862,1.104517,1.391147,.9652425,1.136223,.8882991,.9990316,.8360296,1.107476,1.39118,.9741336,1.138953,.89957,10247.14,4683.316,4922.628,641.1947,9605.944,5563.823,5324.511,10617.46,4770.053,5171.813,675.5955,9941.865,5847.408,5445.648
"USA",1999,.9878076,.8280729,1.09351,1.377707,.9626554,1.125588,.8916736,.9972517,.8389298,1.097762,1.379704,.9721646,1.129629,.9033265,10594.95,4785.195,5128.933,680.8186,9914.128,5809.752,5466.014,10972.27,4874.194,5382.704,715.3678,10256.9,6098.072,5589.562
"USA",2000,.9875023,.8279351,1.087302,1.378612,.9611794,1.121045,.8948859,1.000021,.840643,1.095639,1.384624,.973646,1.129219,.9088418,10910.04,4858.019,5325.822,726.1948,10183.84,6052.017,5584.214,11293.8,4942.083,5587.412,764.3045,10529.5,6351.717,5706.388
"USA",2001,.9869263,.8297319,1.084,1.375801,.9608256,1.117612,.896184,1.001929,.8450444,1.094499,1.386505,.9755253,1.12838,.9131822,11344.45,5033.357,5557.608,753.4806,10590.96,6311.089,5786.837,11717.8,5111.706,5811.672,794.4219,10923.38,6606.094,5906.128
"USA",2002,.988152,.8171665,1.095774,1.372921,.9597826,1.130667,.8900985,1.000379,.8315097,1.101566,1.379158,.9717733,1.136805,.9058787,11545.01,5113.8,5592.728,838.4824,10706.53,6431.21,5952.282,11924.54,5194.059,5845.721,884.7654,11039.78,6730.486,6078.824
"USA",2003,.9885363,.8283252,1.083256,1.364819,.9586154,1.121165,.9033737,.9999747,.8413528,1.089169,1.369119,.9698887,1.127186,.9177775,11725.23,5176.689,5633.78,914.7629,10810.47,6548.543,6091.452,12092.79,5247.99,5880.703,964.0993,11128.69,6844.802,6212.089
"USA",2004,.9960369,.8427987,1.087967,1.36913,.9641259,1.129401,.9190147,1.006158,.8541008,1.092993,1.369817,.9742882,1.13406,.9314189,11941.98,5423.452,5522.565,995.9587,10946.02,6518.524,6419.411,12320.63,5494.857,5776.55,1049.224,11271.41,6825.774,6544.082
"USA",2005,.9867361,.8270609,1.087667,1.345675,.9555253,1.126354,.9029776,1.005556,.8457836,1.101518,1.36199,.9738092,1.14086,.9239159,12142.31,5516.7,5597.368,1028.245,11114.07,6625.613,6544.945,12536.94,5599.272,5852.91,1084.753,11452.18,6937.663,6684.025
"USA",2006,.9928926,.8394905,1.089716,1.351506,.9618032,1.129152,.9137329,1.012551,.8591518,1.104513,1.368381,.9809328,1.14458,.9355188,12486.93,5729.196,5704.167,1053.565,11433.36,6757.732,6782.761,12888.48,5815.284,5961.47,1111.73,11776.75,7073.2,6927.014
