State,Year,LOS_Mean,LOS_MeanViolent,LOS_MeanAllExceptViol,LOS_MeanTop10,LOS_10plus_Pct,LOS_10plus_Num
CA,2013,6.584008,8.021689,3.257757,24.29698,24.37212,32858
CA,2014,6.755208,8.158153,3.273386,24.91472,24.76433,33205
CO,2000,3.018229,4.487053,1.843517,12.45982,7.156095,1197
CO,2001,3.090848,4.66816,1.840248,12.90665,7.356163,1276
CO,2002,3.109976,4.77709,1.834311,13.15751,7.452951,1394
CO,2003,3.183556,4.904646,1.868967,13.55376,7.728409,1515
CO,2004,3.323705,5.188229,1.93339,14.12726,8.311932,1683
CO,2005,3.336629,5.334901,1.907556,14.44365,8.476395,1817
CO,2006,3.34794,5.450191,1.88763,14.71633,8.555268,1921
CO,2007,3.378149,5.515173,1.855778,15.15801,8.744198,1997
CO,2008,3.440943,5.554317,1.896009,15.37357,8.802756,2044
CO,2009,3.630589,5.706713,1.98938,15.89114,9.200703,2095
CO,2010,3.851424,5.868453,2.144042,16.47391,9.989909,2277
CO,2011,4.161106,6.118536,2.311474,17.37626,11.29434,2493
CO,2012,4.317671,6.29806,2.269459,18.04687,12.49027,2567
CO,2013,4.263468,6.30844,2.103729,18.44702,12.52332,2551
CO,2014,4.393872,6.305809,2.163066,18.99372,13.02223,2531
DC,2007,3.589807,5.02239,1.804523,11.53484,3.751655,255
DC,2008,3.984362,5.495606,1.963386,12.48575,4.158324,270
DC,2009,4.31216,5.83984,2.091027,13.40777,4.473469,274
DC,2010,4.402295,5.99274,2.083122,13.55409,6.022214,347
DC,2011,4.537608,6.192707,2.108761,14.5478,17.33403,1000
DC,2012,4.829416,6.484272,2.273196,15.06571,22.35751,1267
DC,2013,5.276628,6.782875,2.595991,16.13025,24.61768,1320
DE,2009,4.205735,6.462153,2.509949,17.05576,11.29802,450
DE,2010,4.315315,6.533189,2.565549,17.66655,11.8229,478
DE,2011,4.332873,6.637345,2.495155,18.03622,14.89863,632
DE,2012,4.38377,6.852742,2.443163,18.77352,15.12249,679
DE,2013,4.559285,7.149484,2.482571,19.92613,15.66105,706
DE,2014,4.656568,7.419693,2.519487,19.34175,15.47114,729
FL,1996,4.048936,5.117666,2.82127,15.5004,8.003044,5363
FL,1997,4.117127,5.216336,2.789021,16.06795,8.123543,5434
FL,1998,4.137783,5.37013,2.664337,16.24683,8.236681,5660
FL,1999,4.110755,5.493401,2.519287,16.70517,9.146022,6457
FL,2000,4.08379,5.670628,2.349355,16.97675,10.71052,7816
FL,2001,4.164663,5.861025,2.334248,17.6442,12.10156,8956
FL,2002,4.186515,6.001898,2.302495,17.98106,12.62885,9679
FL,2003,4.148942,6.05337,2.249727,18.24284,12.43995,10074
FL,2004,4.194211,6.179055,2.251374,18.59389,12.2985,10338
FL,2005,4.271211,6.286174,2.285708,19.0059,12.07651,10430
FL,2006,4.317956,6.471524,2.271182,19.36085,12.13893,10943
FL,2007,4.331089,6.559052,2.269711,19.60055,12.27115,11656
FL,2008,4.356191,6.598198,2.300342,19.79037,12.47354,12432
FL,2009,4.492368,6.700461,2.412691,20.12642,13.01074,13237
FL,2010,4.664089,6.873615,2.537287,20.64595,13.71513,14120
FL,2011,4.873954,7.109507,2.673319,21.22856,14.55561,14831
FL,2012,5.10445,7.27763,2.843537,21.85555,15.4572,15562
FL,2013,5.209267,7.429767,2.877088,22.31998,16.06071,16296
FL,2014,5.386894,7.633449,2.965186,22.97414,16.775,16775
GA,1971,3.752815,4.088768,3.385356,22.16759,7.577127,587
GA,1972,3.601213,3.857574,3.299133,21.57134,6.68006,532
GA,1973,3.453294,3.699988,3.147527,20.61655,5.968276,523
GA,1974,3.268529,3.528546,2.947129,19.13568,5.125051,500
GA,1975,3.164332,3.422129,2.831039,17.9134,4.632994,510
GA,1976,2.878125,3.361756,2.292958,14.59414,3.813347,456
GA,1977,2.933304,3.462958,2.29655,14.69046,3.863563,478
GA,1978,3.021588,3.569022,2.332529,15.61023,4.281525,511
GA,1979,3.096393,3.732361,2.332659,15.50559,4.387137,558
GA,1980,3.109524,3.810879,2.258397,15.88107,4.687378,602
GA,1981,3.158872,3.788743,2.326754,16.16569,4.897711,644
GA,1982,2.800675,3.568753,1.909865,15.40342,4.433761,664
GA,1983,2.833051,3.509076,2.015172,15.25221,4.425235,686
GA,1984,2.884129,3.572648,2.010747,15.5933,4.474956,704
GA,1985,2.954019,3.672591,2.013762,15.8224,4.754048,778
GA,1986,2.91011,3.709157,1.897577,15.65726,4.890715,857
GA,1987,2.911293,3.724117,1.857392,15.6743,4.960499,923
GA,1988,3.101481,3.857869,2.038235,16.10069,5.310536,997
GA,1989,2.870207,3.652569,1.776747,15.6211,5.03618,1044
GA,1990,2.836479,3.640083,1.764558,15.38527,4.860175,1081
GA,1991,2.839966,3.67707,1.764213,15.25843,4.726886,1112
GA,1992,2.811291,3.663207,1.742884,14.8916,4.676259,1183
GA,1993,2.734539,3.671357,1.664735,14.4735,4.556935,1281
GA,1994,2.750003,3.76478,1.70205,13.90874,4.336758,1448
GA,1995,2.978791,3.994779,1.86773,14.48283,4.863054,1669
GA,1996,3.209099,4.212665,2.022919,14.97546,5.445095,1917
GA,1997,3.400109,4.431405,2.051267,15.60956,6.174258,2257
GA,1998,3.58837,4.680795,2.144044,15.79159,6.519963,2554
GA,1999,3.672536,4.828849,2.16367,16.14804,7.068388,2956
GA,2000,3.875939,5.14358,2.267736,16.46655,7.696142,3397
GA,2001,4.057265,5.397669,2.342702,16.9595,8.427234,3889
GA,2002,4.233394,5.655162,2.371497,17.57837,9.518674,4501
GA,2003,4.453105,5.94001,2.385221,18.33821,10.81453,5105
GA,2004,4.546304,6.110464,2.302682,18.92355,11.84623,5710
GA,2005,4.612352,6.273196,2.242896,19.40202,12.38068,6122
GA,2006,4.470765,6.302303,2.078904,19.44645,12.44685,6616
GA,2007,4.476734,6.349742,2.083408,19.6618,12.91044,7101
GA,2008,4.733701,6.577374,2.250261,20.58818,13.99575,7447
GA,2009,4.63864,6.504816,2.07304,19.9953,14.51361,7815
GA,2010,4.751659,6.588622,2.111946,20.55039,14.99991,7981
GA,2011,4.730136,6.572343,2.033564,20.88856,15.10007,8005
GA,2012,4.775175,6.637097,2.088301,21.30682,14.95288,8123
GA,2013,4.989367,6.775468,2.194268,22.00439,15.53436,8243
GA,2014,5.1674,6.972177,2.252311,22.68707,16.10529,8425
IA,2006,2.970644,5.857628,1.518076,15.279,6.927158,679
IA,2007,3.208402,6.142776,1.68907,16.01187,7.829585,759
IA,2008,3.356109,6.389919,1.782087,16.59904,8.25328,799
IA,2009,3.586335,6.743055,1.878714,17.57935,9.325073,858
IA,2010,3.552694,6.793811,1.80886,17.93675,9.37661,910
IA,2011,3.684573,6.932252,1.830641,18.6403,10.14118,941
IA,2012,3.7305,6.925986,1.745169,19.44484,10.85419,967
IA,2013,3.763686,7.030447,1.725217,20.1374,11.2964,989
IA,2014,3.854855,7.166007,1.688908,20.5823,11.58516,1040
IL,1989,2.469763,3.721018,1.124342,10.56255,4.04948,1005
IL,1990,2.432154,3.76851,1.116498,10.85131,4.524429,1252
IL,1991,2.500578,3.802413,1.199278,11.20954,5.037964,1473
IL,1992,2.465709,3.776711,1.185051,11.31137,5.284247,1688
IL,1993,2.481619,3.85701,1.200306,11.39093,5.488383,1911
IL,1994,2.560667,3.989067,1.247665,11.68167,5.6054,2068
IL,1995,2.680121,4.197568,1.302228,12.10662,5.88637,2241
IL,1996,2.77741,4.415942,1.34127,12.50033,6.13745,2413
IL,1997,2.81414,4.564501,1.3476,12.68859,6.147402,2539
IL,1998,2.84136,4.644505,1.363377,12.84029,6.205267,2705
IL,1999,2.938705,4.834973,1.41028,13.24207,6.543922,2950
IL,2000,3.048555,5.101655,1.433021,13.72095,7.036266,3211
IL,2001,3.1603,5.374418,1.423788,14.16956,7.709695,3445
IL,2002,3.296445,5.586648,1.411014,14.91005,8.745486,3754
IL,2003,3.343925,5.689573,1.377801,15.35722,9.394371,4092
IL,2004,3.363103,5.812345,1.325939,15.72708,9.881119,4372
IL,2005,3.402578,5.894019,1.307087,16.09389,10.37274,4678
IL,2006,3.478204,6.056822,1.323833,16.58166,10.81242,4895
IL,2007,3.567319,6.228443,1.349805,17.07444,11.34791,5133
IL,2008,3.656338,6.325449,1.379059,17.58797,11.98567,5453
IL,2009,3.781681,6.51438,1.415826,18.13276,12.5238,5657
IL,2010,3.722673,6.549144,1.431803,18.17946,12.00793,5811
IL,2011,3.894382,6.752255,1.563153,18.74358,12.30747,5953
IL,2012,3.956682,6.856908,1.584074,19.10772,12.50332,6119
IL,2013,4.07778,6.968511,1.612406,19.73312,12.97313,6286
IN,2002,3.300828,4.735764,2.315809,14.21518,7.978927,1666
IN,2003,3.178924,4.789647,2.159047,13.93245,7.454,1665
IN,2004,3.223814,4.877733,2.178332,14.03667,7.285696,1665
IN,2005,3.189266,4.984673,2.094107,13.95095,7.409737,1767
IN,2006,3.15604,4.959517,2.066987,13.92599,7.383011,1827
IN,2007,3.078321,4.892333,1.984182,13.74449,7.268161,1910
IN,2008,3.124301,4.998775,2.009191,13.88568,7.600915,2060
IN,2009,3.151924,5.045641,2.026386,13.99592,8.006059,2220
IN,2010,3.226671,5.230762,2.049038,14.29678,8.386305,2322
IN,2011,3.2913,5.357283,2.089051,14.46727,9.364655,2631
IN,2012,3.444638,5.486999,2.196747,14.99126,10.15256,2815
IN,2013,3.482575,5.630861,2.200195,15.25416,10.41448,2970
IN,2014,3.680055,5.878057,2.338368,15.74576,11.03391,3065
KS,2011,4.420287,6.266275,1.595172,19.63343,14.20474,1253
KS,2012,4.523463,6.407536,1.695812,20.14711,14.38087,1317
KS,2013,4.569108,6.474233,1.735728,20.38569,14.03228,1313
KS,2014,4.662908,6.641844,1.770939,20.73439,14.16595,1318
KY,2000,2.754082,4.266497,1.71752,11.9365,5.681965,879
KY,2001,2.733839,4.42598,1.633782,12.17994,5.874633,940
KY,2002,2.682853,4.379087,1.546933,12.41361,5.897153,961
KY,2003,2.630299,4.470893,1.45062,12.56549,6.005362,1008
KY,2004,2.555069,4.552116,1.390883,12.54323,5.818498,1072
KY,2005,2.515914,4.59827,1.34334,12.72033,5.92241,1148
KY,2006,2.549534,4.726524,1.337168,12.9779,6.193323,1243
KY,2007,2.424216,4.684375,1.257414,12.33356,5.416069,1208
KY,2008,2.644232,4.869135,1.389806,12.98041,5.806153,1255
KY,2009,2.711368,5.077328,1.408489,13.18214,5.855856,1274
KY,2010,2.832427,5.329845,1.412494,13.70016,6.162424,1271
KY,2011,2.78471,5.385203,1.375917,13.73167,5.986175,1299
KY,2012,2.828876,5.488785,1.424314,13.84852,6.166688,1411
KY,2013,3.000935,5.687487,1.416528,14.79586,7.266371,1538
KY,2014,3.057863,5.908086,1.407611,15.25016,7.70722,1630
MA,2010,5.135232,7.110919,2.295928,22.52745,15.81658,1597
MA,2011,5.240463,7.131872,2.452979,22.92977,15.65158,1601
MA,2012,5.58285,7.413402,2.564993,24.19806,16.74094,1653
MA,2013,5.87302,7.723137,2.542479,25.26166,17.91944,1695
MA,2014,6.068772,7.90769,2.529711,26.12758,18.53811,1717
MD,2000,4.592836,6.598365,2.176143,18.77069,13.89543,3128
MD,2001,4.608192,6.67098,2.039016,19.29529,14.48634,3208
MD,2002,4.622148,6.726535,1.986184,19.73004,14.71321,3309
MD,2003,4.75929,6.878546,1.995531,20.37744,15.4047,3422
MD,2004,4.82937,7.008175,1.940422,20.90128,15.69929,3454
MD,2005,4.930264,7.086318,1.90379,21.48726,16.15215,3516
MD,2006,4.953636,7.120389,1.854394,22.00731,16.35985,3617
MD,2007,4.901019,7.039647,1.809693,22.28745,16.01494,3645
MD,2008,5.010386,7.058343,1.8411,22.85754,16.30684,3701
MD,2009,5.27071,7.221971,2.015384,23.70717,17.09506,3771
MD,2010,5.304066,7.19505,2.004722,24.21556,17.0924,3794
MD,2011,5.331282,7.166611,2.095335,24.53492,16.70035,3801
MD,2012,5.642313,7.589133,2.215979,25.44558,17.73904,3857
ME,2012,3.269084,4.857741,1.562817,16.69527,8.895185,157
ME,2013,3.252674,4.897931,1.596905,16.53076,8.492569,160
ME,2014,3.291145,4.948643,1.673993,16.69368,8.264887,161
MI,1989,2.457412,3.605353,1.330152,9.992826,3.542647,1099
MI,1990,2.601273,3.78069,1.43821,10.41004,3.764,1267
MI,1991,2.760791,3.932974,1.557792,10.81972,4.089871,1469
MI,1992,2.965557,4.164154,1.696296,11.36132,4.521984,1734
MI,1993,3.285174,4.447653,1.889483,12.15476,5.357235,2065
MI,1994,3.558499,4.747392,2.042861,12.77867,6.258773,2497
MI,1995,3.87037,5.086892,2.209821,13.55631,7.551041,3055
MI,1996,4.032201,5.364301,2.23044,14.13894,8.64486,3626
MI,1997,4.175334,5.61614,2.287174,14.6668,9.59683,4287
MI,1998,4.377283,5.888562,2.361372,15.37514,10.75196,4933
MI,1999,4.615974,6.202653,2.485255,16.05964,12.58053,5897
MI,2000,4.795197,6.450591,2.574886,16.63621,14.15977,6874
MI,2001,4.940282,6.672328,2.596691,17.2966,15.71036,7839
MI,2002,5.036443,6.894188,2.563425,17.96794,16.97461,8691
MI,2003,5.27964,7.159039,2.569979,18.84905,18.40616,9204
MI,2004,5.454742,7.414608,2.548477,19.67588,19.31735,9559
MI,2005,5.602541,7.629123,2.583089,20.34969,19.84812,9932
MI,2006,5.647106,7.775065,2.552211,20.8627,19.86242,10337
MI,2007,5.87859,7.99201,2.64345,21.65597,20.70401,10493
MI,2008,6.152822,8.27344,2.789947,22.55837,21.48351,10531
MI,2009,6.258787,8.406178,2.844284,23.39022,21.49836,9814
MI,2010,6.215582,8.471,2.818108,23.98922,21.33333,9456
MI,2011,6.40201,8.638628,2.944313,24.76274,21.82451,9402
MI,2012,6.444576,8.779403,2.955564,25.35563,21.90841,9549
MI,2013,6.541116,8.880972,3.008454,25.97199,22.32087,9654
MN,1994,3.080529,2.682772,3.69793,18.68042,3.75,165
MN,1995,3.09346,2.752922,3.629552,18.49833,3.772757,172
MN,1996,3.122411,2.905739,3.446691,18.29428,3.825476,185
MN,1997,2.40151,3.188625,1.156811,10.1123,3.50613,163
MN,1998,3.139912,3.649963,1.626254,12.02381,5.49351,182
MN,1999,2.361273,3.19522,1.14166,10.19926,3.501424,209
MN,2000,2.470951,3.361181,1.223175,10.55451,3.966327,245
MN,2001,2.517324,3.499199,1.267422,10.99243,4.05832,270
MN,2002,2.494943,3.619806,1.257296,11.12051,4.410944,316
MN,2003,2.529124,3.690141,1.339893,11.35576,4.501566,345
MN,2004,2.560434,3.791872,1.387972,11.70144,5.223972,428
MN,2005,2.677332,3.88848,1.494087,12.29389,6.00874,495
MN,2006,2.89903,4.116557,1.566774,13.20647,7.26748,554
MN,2007,3.57293,4.663615,1.854377,15.12964,10.01546,583
MN,2008,2.890666,4.185364,1.560075,13.50344,7.274087,681
MN,2009,2.869706,4.20787,1.503577,13.82067,7.330808,716
MN,2010,2.951475,4.354005,1.486544,14.38177,7.772021,750
MN,2011,2.985872,4.421632,1.461014,14.78041,8.066875,772
MN,2012,3.039936,4.562277,1.457788,15.18658,7.983929,775
MN,2013,3.101497,4.527931,1.530741,15.46515,8.296854,815
MN,2014,2.966535,4.305808,1.386983,15.67228,8.041847,761
MO,2000,3.472052,5.403653,1.818066,14.26111,8.664314,2284
MO,2001,3.300482,5.326246,1.617713,13.80941,8.139778,2334
MO,2002,3.366832,5.412076,1.616536,14.23086,8.706401,2606
MO,2003,3.478683,5.603622,1.644974,14.79232,9.610718,2891
MO,2004,3.481413,5.725724,1.577512,15.19718,10.18564,3144
MO,2005,3.535883,5.791309,1.574456,15.6717,10.74548,3383
MO,2006,3.695175,5.938695,1.637362,16.31327,11.49809,3582
MO,2007,3.834943,6.188963,1.659199,16.99219,12.21064,3782
MO,2008,3.916738,6.196699,1.715346,17.43758,12.53571,3861
MO,2009,4.024646,6.252693,1.774953,18.00495,12.78591,3941
MO,2010,4.131803,6.376934,1.828168,18.46148,13.08867,4030
MO,2011,4.250376,6.585298,1.856878,19.02895,13.75295,4252
MO,2012,4.292477,6.707907,1.864812,19.41136,14.06645,4399
MO,2013,4.296431,6.823483,1.839883,19.79075,14.00749,4416
MO,2014,4.323865,6.907257,1.869819,20.16596,14.01489,4443
MS,2004,3.638445,5.836605,2.094053,14.7355,8.094156,1568
MS,2005,3.76374,6.01118,2.139384,15.22198,8.723773,1713
MS,2006,3.693517,6.003778,2.08272,15.34405,9.139682,1908
MS,2007,3.779002,6.096328,2.157481,15.69636,9.966793,2131
MS,2008,3.779637,6.022232,2.144805,16.00958,10.31294,2264
MS,2009,3.806361,6.010641,1.955361,16.67647,10.69918,2277
MS,2010,3.967377,6.250155,1.958802,17.33644,11.35148,2377
MS,2011,4.04653,6.472368,1.948732,17.70144,11.57355,2461
MS,2012,4.053047,6.630938,1.895259,17.80219,11.52231,2525
MS,2013,4.346806,6.980491,2.03357,18.65669,12.47087,2676
MS,2014,5.045789,7.302644,2.286308,20.4333,15.48064,2815
MT,2010,3.277939,4.501984,1.861575,13.58917,10.18109,253
MT,2011,3.360002,4.550647,1.92749,14.30259,10.32845,261
MT,2012,3.608756,4.854675,2.095453,15.12926,10.99349,270
MT,2013,3.600574,4.873816,2.02478,15.82309,10.94127,272
MT,2014,3.581137,4.875401,1.998501,16.15277,10.65509,270
NC,1999,4.144114,5.137803,3.018374,15.44199,9.15718,2550
NC,2000,4.171533,5.276852,2.881097,15.88768,10.07174,2822
NC,2001,4.217542,5.384034,2.812291,16.39122,11.1365,3168
NC,2002,4.266719,5.530195,2.758553,16.73575,12.15127,3602
NC,2003,4.360199,5.715409,2.75141,17.11344,13.18295,3974
NC,2004,4.339839,5.787268,2.694731,17.39666,13.45367,4241
NC,2005,4.391102,5.928731,2.675968,17.57562,13.44535,4329
NC,2006,4.418679,6.0378,2.640565,17.88456,13.10241,4331
NC,2007,4.473046,6.18522,2.64863,18.10606,13.24173,4481
NC,2008,4.435834,6.221867,2.603081,18.2121,13.10457,4598
NC,2009,4.488948,6.301369,2.64289,18.44928,13.27577,4736
NC,2010,4.599192,6.454785,2.686847,18.89625,13.80822,4978
NC,2011,4.774168,6.736097,2.771269,19.44131,14.55622,5212
NC,2012,4.961258,7.026046,2.86234,20.12666,15.45796,5431
NC,2013,5.069186,7.367948,2.836571,20.74845,15.98896,5619
NC,2014,5.141917,7.640132,2.809731,21.35164,16.48166,5850
ND,2002,1.992043,3.536222,1.119808,9.607461,2.762923,31
ND,2003,1.868507,3.304136,1.049202,9.493657,3.109656,38
ND,2004,1.939266,3.443603,1.088032,9.853437,3.582555,46
ND,2005,1.970359,3.626955,1.078494,9.962761,3.325775,44
ND,2006,2.050865,3.643883,1.050511,10.33238,4.002911,55
ND,2007,2.10488,3.667612,1.102234,10.75321,4.294918,60
ND,2008,2.107424,3.491078,1.100981,11.00407,4.272915,62
ND,2009,2.103757,3.495674,1.125782,11.11012,4.533333,68
ND,2010,2.275408,3.52564,1.255279,11.51354,5,74
ND,2011,2.488023,3.690842,1.40232,12.23218,5.117566,74
ND,2012,2.409539,3.652718,1.301589,12.25093,4.96732,76
ND,2013,2.268329,3.4685,1.207814,11.54622,4.247104,66
ND,2014,2.236267,3.528431,1.137787,11.66597,4.198699,71
NE,2000,3.366856,5.227319,1.860071,15.8867,8.177869,320
NE,2001,3.418623,5.297946,1.852375,16.29124,8.248731,325
NE,2002,3.373255,5.304076,1.760154,16.39476,8.44653,342
NE,2003,3.428777,5.359658,1.728275,16.70219,9.133547,370
NE,2004,3.417122,5.223051,1.675474,16.82472,9.427032,385
NE,2005,3.358635,5.003794,1.645659,16.97821,9.530293,420
NE,2006,3.473504,5.484672,1.545344,17.49459,9.665598,422
NE,2007,3.565213,5.530384,1.585873,17.6701,9.541985,425
NE,2008,3.67463,5.524298,1.6591,18.25536,9.683217,431
NE,2009,3.772653,5.608026,1.710348,18.56312,10.04444,452
NE,2010,3.812328,5.75468,1.668495,18.92886,10.27249,475
NE,2011,3.739009,5.705537,1.598535,18.80803,9.868558,473
NE,2012,3.804162,5.916471,1.577428,19.1319,9.857681,471
NE,2013,3.716088,5.946541,1.552307,18.91681,9.714286,493
NE,2014,3.792833,5.929505,1.697978,18.74125,9.770651,524
NH,2011,3.828918,5.482175,1.88536,16.69653,10.93624,271
NH,2012,3.737418,5.571166,1.787628,16.88603,10.37486,274
NH,2013,3.80666,5.60254,1.868183,17.51699,10.62382,281
NH,2014,3.965385,5.846454,1.928435,17.9985,11.51492,301
NJ,2003,3.2892,5.172632,1.91459,15.90638,7.99986,2281
NJ,2004,3.346895,5.220603,1.911227,16.45363,8.356991,2355
NJ,2005,3.39884,5.269026,1.94184,16.77208,8.571527,2471
NJ,2006,3.476537,5.373318,1.933433,17.24611,8.866198,2518
NJ,2007,3.59855,5.491228,1.993125,17.90779,9.187444,2561
NJ,2008,3.792716,5.636836,2.119564,18.67525,9.799762,2633
NJ,2009,3.968028,5.79376,2.227931,19.45984,10.38912,2734
NJ,2010,4.103718,5.918663,2.314067,20.1944,10.82196,2807
NJ,2011,4.014977,5.91569,1.982805,18.74116,10.53726,2585
NJ,2012,4.098494,5.978275,1.988608,19.26357,10.96807,2573
NJ,2013,4.158798,6.032799,1.898571,19.5144,11.63012,2567
NM,2010,3.12814,4.334652,1.285784,14.51241,6.862012,459
NM,2011,3.256265,4.535665,1.330147,14.7513,7.369375,488
NM,2012,3.372046,4.77587,1.394066,15.20493,8.02963,542
NM,2013,3.492585,5.212379,1.415727,15.85976,9.229194,631
NM,2014,3.54879,5.88854,1.429638,16.21246,10.11106,701
NV,2008,3.770405,5.63876,1.852698,16.59411,10.62228,1369
NV,2009,3.958136,5.869826,1.871848,17.27506,11.47372,1445
NV,2010,4.120029,6.123889,1.917737,17.82295,12.23869,1528
NV,2011,4.199672,6.278876,1.946539,18.27056,12.49102,1565
NV,2012,4.319608,6.455062,2.018969,18.76438,12.94565,1634
NV,2013,4.422281,6.625451,2.079362,19.21442,13.50376,1722
NV,2014,4.556679,6.918569,2.086015,19.84515,14.28458,1796
NY,1994,2.557338,3.817846,1.488788,10.93855,4.911479,3268
NY,1995,2.704706,4.033168,1.566205,11.3659,5.36654,3661
NY,1996,2.896653,4.313366,1.649649,12.0216,6.100215,4233
NY,1997,3.142444,4.652191,1.756946,12.68877,6.866915,4714
NY,1998,3.357488,4.944166,1.868962,13.34208,7.410925,5150
NY,1999,3.558469,5.192915,1.99889,13.88633,8.182895,5802
NY,2000,3.769999,5.503127,2.069839,14.62683,8.991979,6255
NY,2001,4.00656,5.779036,2.172457,15.41548,10.22993,6825
NY,2002,4.134065,5.956855,2.203786,16.05011,11.18075,7386
NY,2003,4.240994,6.13923,2.166439,16.72938,12.35307,7966
NY,2004,4.401738,6.365405,2.18029,17.45656,13.48793,8492
NY,2005,4.514537,6.547434,2.140333,18.1927,14.73835,9131
NY,2006,4.540867,6.670689,2.095073,18.70926,15.18133,9473
NY,2007,4.58869,6.787754,2.089131,19.13599,15.66507,9663
NY,2008,4.7581,7.016072,2.167562,19.7721,16.35963,9724
NY,2009,4.865706,7.112683,2.22677,20.35848,16.79457,9695
NY,2010,4.951972,7.172082,2.23027,20.87772,17.00871,9473
NY,2011,5.013972,7.282451,2.234786,21.3072,17.03538,9279
NY,2012,5.066725,7.349981,2.261167,21.71855,17.16622,9152
NY,2013,5.082728,7.388912,2.267816,22.03027,17.19663,9064
NY,2014,5.119957,7.512165,2.289721,22.29816,17.25004,8930
OH,2009,4.109599,6.034573,1.76889,18.90631,12.28376,5915
OH,2010,4.230552,6.157253,1.863416,19.35263,12.35195,6080
OH,2011,4.482986,6.45401,2.006899,20.21017,13.03102,6368
OH,2012,4.672863,6.700038,2.101511,20.81468,13.52222,6591
OH,2013,4.86352,6.984005,2.135862,21.58319,14.13746,6825
OK,2000,4.496154,6.608814,3.302599,16.54372,12.98846,2915
OK,2001,4.438881,6.710032,3.074882,17.07394,13.23794,2942
OK,2002,4.386782,6.842909,2.913418,17.5092,13.66868,3095
